============================================================
Domain:		BlocksWorld
Dimensions:	6
|S|:		46656
|A|:		36
|S|x|A|:		1679616
Episode Cap:	1000
Gamma:		1
noise		0.3
blocks		6
============================================================
Representation:		iFDD
Starting Features:	36
Aggregated States:	46656
Threshold:		0.050
Sparsify:		1
Cached:			1
Max Batch Discovery:	1
Batch Threshold:		0.001
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/BlocksWorld-SARSA-iFDD/1-1-result.txt
Max Steps: 		30000
Performance Checks:	10
1000: E[0:00:03]-R[0:01:21]: Return=-1.00, Steps=1000, Features = 36
21000 >>> E[0:01:04]-R[0:00:27]: Return=0.99, Steps=7, Features = 391
21283: E[0:01:05]-R[0:00:27]: Return=0.99, Steps=10, Features = 391
21603: E[0:01:06]-R[0:00:26]: Return=0.99, Steps=11, Features = 392
22002: E[0:01:07]-R[0:00:24]: Return=0.89, Steps=106, Features = 399
22288: E[0:01:08]-R[0:00:24]: Return=0.99, Steps=6, Features = 400
22567: E[0:01:09]-R[0:00:23]: Return=0.99, Steps=7, Features = 400
22864: E[0:01:10]-R[0:00:22]: Return=0.99, Steps=10, Features = 401
23138: E[0:01:11]-R[0:00:21]: Return=0.99, Steps=9, Features = 408
23444: E[0:01:12]-R[0:00:20]: Return=0.99, Steps=8, Features = 410
23738: E[0:01:13]-R[0:00:19]: Return=0.99, Steps=8, Features = 418
24000 >>> E[0:01:14]-R[0:00:19]: Return=0.99, Steps=6, Features = 418
24271: E[0:01:15]-R[0:00:18]: Return=0.99, Steps=7, Features = 419
24522: E[0:01:16]-R[0:00:17]: Return=0.98, Steps=22, Features = 446
24801: E[0:01:17]-R[0:00:16]: Return=0.99, Steps=13, Features = 450
25106: E[0:01:18]-R[0:00:15]: Return=0.99, Steps=10, Features = 450
25362: E[0:01:19]-R[0:00:15]: Return=0.99, Steps=12, Features = 459
25632: E[0:01:20]-R[0:00:14]: Return=0.99, Steps=10, Features = 463
25865: E[0:01:21]-R[0:00:13]: Return=0.99, Steps=7, Features = 479
26153: E[0:01:22]-R[0:00:12]: Return=0.99, Steps=13, Features = 481
26464: E[0:01:24]-R[0:00:11]: Return=0.96, Steps=37, Features = 483
26707: E[0:01:25]-R[0:00:10]: Return=0.99, Steps=8, Features = 490
26950: E[0:01:26]-R[0:00:10]: Return=0.99, Steps=7, Features = 492
27000 >>> E[0:01:26]-R[0:00:10]: Return=0.99, Steps=7, Features = 492
27308: E[0:01:27]-R[0:00:09]: Return=0.99, Steps=15, Features = 493
27605: E[0:01:28]-R[0:00:08]: Return=0.99, Steps=7, Features = 493
27897: E[0:01:29]-R[0:00:07]: Return=0.99, Steps=10, Features = 494
28195: E[0:01:30]-R[0:00:06]: Return=1.00, Steps=5, Features = 495
28474: E[0:01:31]-R[0:00:05]: Return=0.99, Steps=8, Features = 505
28885: E[0:01:32]-R[0:00:04]: Return=0.89, Steps=114, Features = 510
29177: E[0:01:33]-R[0:00:03]: Return=1.00, Steps=5, Features = 510
29478: E[0:01:34]-R[0:00:02]: Return=0.99, Steps=14, Features = 512
29775: E[0:01:35]-R[0:00:01]: Return=0.99, Steps=8, Features = 512
30000 >>> E[0:01:36]-R[0:00:00]: Return=0.99, Steps=6, Features = 515
============================================================
Took 0:01:36
Saved in 1-result.txt
