============================================================
Domain:		InvertedPendulum
Dimensions:	2
|S|:		inf
|A|:		3
|S|x|A|:		inf
Episode Cap:	100
Gamma:		0.9
============================================================
Representation:		Tabular
Discretization:		20
Starting Features:	400
Aggregated States:	400
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/InvertedPendulum-SARSA-Tabular/4-4-result.txt
Max Steps: 		100000
Performance Checks:	15
200: E[0:00:01]-R[0:12:03]: Return=0.00, Steps=100, Features = 400
12600: E[0:01:06]-R[0:07:41]: Return=0.00, Steps=100, Features = 400
12800: E[0:01:08]-R[0:07:40]: Return=0.00, Steps=100, Features = 400
13000: E[0:01:09]-R[0:07:39]: Return=0.00, Steps=100, Features = 400
13200: E[0:01:10]-R[0:07:37]: Return=0.00, Steps=100, Features = 400
13332 >>> E[0:01:11]-R[0:07:39]: Return=0.00, Steps=100, Features = 400
13600: E[0:01:12]-R[0:07:37]: Return=0.00, Steps=100, Features = 400
13800: E[0:01:13]-R[0:07:36]: Return=0.00, Steps=100, Features = 400
14000: E[0:01:14]-R[0:07:35]: Return=0.00, Steps=100, Features = 400
14300: E[0:01:16]-R[0:07:33]: Return=0.00, Steps=100, Features = 400
14500: E[0:01:17]-R[0:07:31]: Return=0.00, Steps=100, Features = 400
14700: E[0:01:18]-R[0:07:30]: Return=0.00, Steps=100, Features = 400
15000: E[0:01:19]-R[0:07:28]: Return=0.00, Steps=100, Features = 400
15200: E[0:01:20]-R[0:07:27]: Return=11.00, Steps=100, Features = 400
15400: E[0:01:21]-R[0:07:25]: Return=0.00, Steps=100, Features = 400
15700: E[0:01:23]-R[0:07:23]: Return=0.00, Steps=100, Features = 400
15900: E[0:01:24]-R[0:07:22]: Return=0.00, Steps=100, Features = 400
16100: E[0:01:25]-R[0:07:21]: Return=0.00, Steps=100, Features = 400
16300: E[0:01:26]-R[0:07:20]: Return=0.00, Steps=100, Features = 400
16500: E[0:01:27]-R[0:07:19]: Return=0.00, Steps=100, Features = 400
16700: E[0:01:28]-R[0:07:18]: Return=0.00, Steps=100, Features = 400
16900: E[0:01:29]-R[0:07:17]: Return=0.00, Steps=100, Features = 400
17100: E[0:01:30]-R[0:07:16]: Return=0.00, Steps=100, Features = 400
17300: E[0:01:31]-R[0:07:14]: Return=0.00, Steps=100, Features = 400
17500: E[0:01:32]-R[0:07:13]: Return=17.00, Steps=100, Features = 400
17700: E[0:01:33]-R[0:07:12]: Return=10.00, Steps=100, Features = 400
17900: E[0:01:34]-R[0:07:11]: Return=0.00, Steps=100, Features = 400
18100: E[0:01:35]-R[0:07:10]: Return=0.00, Steps=100, Features = 400
18300: E[0:01:36]-R[0:07:09]: Return=13.00, Steps=100, Features = 400
18500: E[0:01:37]-R[0:07:09]: Return=0.00, Steps=100, Features = 400
18700: E[0:01:38]-R[0:07:08]: Return=0.00, Steps=100, Features = 400
19000: E[0:01:40]-R[0:07:06]: Return=0.00, Steps=100, Features = 400
19300: E[0:01:41]-R[0:07:04]: Return=0.00, Steps=100, Features = 400
19500: E[0:01:42]-R[0:07:03]: Return=0.00, Steps=100, Features = 400
19800: E[0:01:44]-R[0:07:01]: Return=7.00, Steps=100, Features = 400
19998 >>> E[0:01:45]-R[0:07:01]: Return=0.00, Steps=100, Features = 400
20200: E[0:01:46]-R[0:07:00]: Return=0.00, Steps=100, Features = 400
20400: E[0:01:47]-R[0:06:59]: Return=0.00, Steps=100, Features = 400
20600: E[0:01:48]-R[0:06:58]: Return=16.00, Steps=100, Features = 400
20800: E[0:01:50]-R[0:06:58]: Return=0.00, Steps=100, Features = 400
21000: E[0:01:51]-R[0:06:57]: Return=0.00, Steps=100, Features = 400
21200: E[0:01:52]-R[0:06:57]: Return=0.00, Steps=100, Features = 400
21500: E[0:01:54]-R[0:06:55]: Return=0.00, Steps=100, Features = 400
21700: E[0:01:55]-R[0:06:54]: Return=0.00, Steps=100, Features = 400
21900: E[0:01:56]-R[0:06:54]: Return=0.00, Steps=100, Features = 400
22100: E[0:01:57]-R[0:06:53]: Return=0.00, Steps=100, Features = 400
22300: E[0:01:58]-R[0:06:52]: Return=7.00, Steps=100, Features = 400
22500: E[0:01:59]-R[0:06:50]: Return=0.00, Steps=100, Features = 400
22700: E[0:02:00]-R[0:06:50]: Return=0.00, Steps=100, Features = 400
22900: E[0:02:02]-R[0:06:49]: Return=0.00, Steps=100, Features = 400
23100: E[0:02:03]-R[0:06:49]: Return=0.00, Steps=100, Features = 400
23300: E[0:02:04]-R[0:06:48]: Return=0.00, Steps=100, Features = 400
23500: E[0:02:05]-R[0:06:47]: Return=18.00, Steps=100, Features = 400
23700: E[0:02:06]-R[0:06:47]: Return=0.00, Steps=100, Features = 400
23900: E[0:02:07]-R[0:06:46]: Return=0.00, Steps=100, Features = 400
24100: E[0:02:08]-R[0:06:45]: Return=0.00, Steps=100, Features = 400
24300: E[0:02:09]-R[0:06:43]: Return=0.00, Steps=100, Features = 400
24500: E[0:02:11]-R[0:06:44]: Return=0.00, Steps=100, Features = 400
24700: E[0:02:12]-R[0:06:43]: Return=0.00, Steps=100, Features = 400
24900: E[0:02:13]-R[0:06:42]: Return=0.00, Steps=100, Features = 400
25100: E[0:02:14]-R[0:06:41]: Return=0.00, Steps=100, Features = 400
25300: E[0:02:16]-R[0:06:40]: Return=0.00, Steps=100, Features = 400
25500: E[0:02:17]-R[0:06:39]: Return=0.00, Steps=100, Features = 400
25700: E[0:02:18]-R[0:06:38]: Return=13.00, Steps=100, Features = 400
25900: E[0:02:19]-R[0:06:37]: Return=0.00, Steps=100, Features = 400
26100: E[0:02:20]-R[0:06:36]: Return=0.00, Steps=100, Features = 400
26300: E[0:02:21]-R[0:06:35]: Return=0.00, Steps=100, Features = 400
26500: E[0:02:22]-R[0:06:34]: Return=0.00, Steps=100, Features = 400
26664 >>> E[0:02:23]-R[0:06:34]: Return=16.00, Steps=100, Features = 400
26900: E[0:02:25]-R[0:06:33]: Return=0.00, Steps=100, Features = 400
27100: E[0:02:26]-R[0:06:32]: Return=0.00, Steps=100, Features = 400
27300: E[0:02:27]-R[0:06:32]: Return=0.00, Steps=100, Features = 400
27500: E[0:02:29]-R[0:06:32]: Return=0.00, Steps=100, Features = 400
27700: E[0:02:30]-R[0:06:31]: Return=8.00, Steps=100, Features = 400
27900: E[0:02:31]-R[0:06:30]: Return=0.00, Steps=100, Features = 400
28100: E[0:02:32]-R[0:06:29]: Return=0.00, Steps=100, Features = 400
28300: E[0:02:33]-R[0:06:28]: Return=3.00, Steps=100, Features = 400
28500: E[0:02:35]-R[0:06:28]: Return=0.00, Steps=100, Features = 400
28700: E[0:02:36]-R[0:06:27]: Return=0.00, Steps=100, Features = 400
28900: E[0:02:37]-R[0:06:25]: Return=0.00, Steps=100, Features = 400
29100: E[0:02:38]-R[0:06:25]: Return=0.00, Steps=100, Features = 400
29300: E[0:02:39]-R[0:06:25]: Return=6.00, Steps=100, Features = 400
29500: E[0:02:40]-R[0:06:23]: Return=0.00, Steps=100, Features = 400
29700: E[0:02:41]-R[0:06:22]: Return=0.00, Steps=100, Features = 400
29900: E[0:02:43]-R[0:06:21]: Return=0.00, Steps=100, Features = 400
30100: E[0:02:44]-R[0:06:20]: Return=0.00, Steps=100, Features = 400
30300: E[0:02:45]-R[0:06:19]: Return=10.00, Steps=100, Features = 400
30600: E[0:02:46]-R[0:06:17]: Return=0.00, Steps=100, Features = 400
30800: E[0:02:47]-R[0:06:16]: Return=10.00, Steps=100, Features = 400
31000: E[0:02:49]-R[0:06:15]: Return=13.00, Steps=100, Features = 400
31200: E[0:02:50]-R[0:06:14]: Return=0.00, Steps=100, Features = 400
31400: E[0:02:51]-R[0:06:13]: Return=0.00, Steps=100, Features = 400
31600: E[0:02:52]-R[0:06:12]: Return=4.00, Steps=100, Features = 400
31800: E[0:02:53]-R[0:06:11]: Return=0.00, Steps=100, Features = 400
32000: E[0:02:54]-R[0:06:10]: Return=0.00, Steps=100, Features = 400
32200: E[0:02:55]-R[0:06:09]: Return=0.00, Steps=100, Features = 400
32400: E[0:02:57]-R[0:06:08]: Return=0.00, Steps=100, Features = 400
32600: E[0:02:58]-R[0:06:08]: Return=0.00, Steps=100, Features = 400
32800: E[0:02:59]-R[0:06:06]: Return=10.00, Steps=100, Features = 400
33000: E[0:03:00]-R[0:06:06]: Return=0.00, Steps=100, Features = 400
33200: E[0:03:01]-R[0:06:05]: Return=12.00, Steps=100, Features = 400
33330 >>> E[0:03:02]-R[0:06:04]: Return=0.00, Steps=100, Features = 400
33600: E[0:03:04]-R[0:06:03]: Return=0.00, Steps=100, Features = 400
33800: E[0:03:05]-R[0:06:02]: Return=0.00, Steps=100, Features = 400
34000: E[0:03:06]-R[0:06:01]: Return=0.00, Steps=100, Features = 400
34200: E[0:03:07]-R[0:06:00]: Return=0.00, Steps=100, Features = 400
34400: E[0:03:08]-R[0:05:59]: Return=0.00, Steps=100, Features = 400
34600: E[0:03:09]-R[0:05:58]: Return=0.00, Steps=100, Features = 400
34800: E[0:03:11]-R[0:05:57]: Return=0.00, Steps=100, Features = 400
35000: E[0:03:12]-R[0:05:57]: Return=0.00, Steps=100, Features = 400
35200: E[0:03:14]-R[0:05:56]: Return=12.00, Steps=100, Features = 400
35400: E[0:03:15]-R[0:05:56]: Return=0.00, Steps=100, Features = 400
35600: E[0:03:16]-R[0:05:54]: Return=0.00, Steps=100, Features = 400
35800: E[0:03:17]-R[0:05:53]: Return=9.00, Steps=100, Features = 400
36000: E[0:03:18]-R[0:05:52]: Return=0.00, Steps=100, Features = 400
36200: E[0:03:19]-R[0:05:51]: Return=4.00, Steps=100, Features = 400
36400: E[0:03:20]-R[0:05:50]: Return=0.00, Steps=100, Features = 400
36700: E[0:03:22]-R[0:05:48]: Return=11.00, Steps=100, Features = 400
36900: E[0:03:23]-R[0:05:46]: Return=0.00, Steps=100, Features = 400
37100: E[0:03:24]-R[0:05:46]: Return=0.00, Steps=100, Features = 400
37300: E[0:03:25]-R[0:05:45]: Return=0.00, Steps=100, Features = 400
37500: E[0:03:27]-R[0:05:45]: Return=0.00, Steps=100, Features = 400
37700: E[0:03:28]-R[0:05:44]: Return=0.00, Steps=100, Features = 400
38000: E[0:03:30]-R[0:05:43]: Return=6.00, Steps=100, Features = 400
38200: E[0:03:32]-R[0:05:42]: Return=0.00, Steps=100, Features = 400
38400: E[0:03:33]-R[0:05:41]: Return=0.00, Steps=100, Features = 400
38600: E[0:03:34]-R[0:05:41]: Return=0.00, Steps=100, Features = 400
38800: E[0:03:35]-R[0:05:39]: Return=6.00, Steps=100, Features = 400
39000: E[0:03:36]-R[0:05:38]: Return=0.00, Steps=100, Features = 400
39200: E[0:03:37]-R[0:05:37]: Return=2.00, Steps=100, Features = 400
39400: E[0:03:38]-R[0:05:36]: Return=0.00, Steps=100, Features = 400
39600: E[0:03:39]-R[0:05:34]: Return=0.00, Steps=100, Features = 400
39800: E[0:03:40]-R[0:05:33]: Return=0.00, Steps=100, Features = 400
39996 >>> E[0:03:42]-R[0:05:32]: Return=0.00, Steps=100, Features = 400
40200: E[0:03:43]-R[0:05:31]: Return=10.00, Steps=100, Features = 400
40500: E[0:03:44]-R[0:05:29]: Return=0.00, Steps=100, Features = 400
40700: E[0:03:45]-R[0:05:28]: Return=0.00, Steps=100, Features = 400
40900: E[0:03:46]-R[0:05:27]: Return=0.00, Steps=100, Features = 400
41100: E[0:03:47]-R[0:05:26]: Return=5.00, Steps=100, Features = 400
41300: E[0:03:48]-R[0:05:24]: Return=0.00, Steps=100, Features = 400
41500: E[0:03:49]-R[0:05:23]: Return=0.00, Steps=100, Features = 400
41800: E[0:03:51]-R[0:05:21]: Return=0.00, Steps=100, Features = 400
42000: E[0:03:52]-R[0:05:20]: Return=4.00, Steps=100, Features = 400
42300: E[0:03:53]-R[0:05:18]: Return=12.00, Steps=100, Features = 400
42500: E[0:03:54]-R[0:05:17]: Return=7.00, Steps=100, Features = 400
42800: E[0:03:56]-R[0:05:15]: Return=0.00, Steps=100, Features = 400
43100: E[0:03:57]-R[0:05:13]: Return=0.00, Steps=100, Features = 400
43300: E[0:03:58]-R[0:05:12]: Return=4.00, Steps=100, Features = 400
43500: E[0:03:59]-R[0:05:11]: Return=0.00, Steps=100, Features = 400
43700: E[0:04:00]-R[0:05:10]: Return=1.00, Steps=100, Features = 400
43900: E[0:04:01]-R[0:05:08]: Return=0.00, Steps=100, Features = 400
44100: E[0:04:02]-R[0:05:07]: Return=0.00, Steps=100, Features = 400
44300: E[0:04:03]-R[0:05:06]: Return=0.00, Steps=100, Features = 400
44500: E[0:04:04]-R[0:05:05]: Return=0.00, Steps=100, Features = 400
44700: E[0:04:05]-R[0:05:04]: Return=0.00, Steps=100, Features = 400
44900: E[0:04:06]-R[0:05:02]: Return=5.00, Steps=100, Features = 400
45200: E[0:04:08]-R[0:05:01]: Return=0.00, Steps=100, Features = 400
45400: E[0:04:09]-R[0:04:59]: Return=13.00, Steps=100, Features = 400
45600: E[0:04:10]-R[0:04:58]: Return=27.00, Steps=100, Features = 400
45800: E[0:04:11]-R[0:04:57]: Return=9.00, Steps=100, Features = 400
46000: E[0:04:12]-R[0:04:56]: Return=3.00, Steps=100, Features = 400
46200: E[0:04:13]-R[0:04:55]: Return=0.00, Steps=100, Features = 400
46400: E[0:04:14]-R[0:04:54]: Return=0.00, Steps=100, Features = 400
46600: E[0:04:16]-R[0:04:53]: Return=0.00, Steps=100, Features = 400
46662 >>> E[0:04:17]-R[0:04:53]: Return=0.00, Steps=100, Features = 400
46800: E[0:04:18]-R[0:04:53]: Return=0.00, Steps=100, Features = 400
47000: E[0:04:19]-R[0:04:52]: Return=0.00, Steps=100, Features = 400
47200: E[0:04:20]-R[0:04:51]: Return=0.00, Steps=100, Features = 400
47400: E[0:04:21]-R[0:04:50]: Return=0.00, Steps=100, Features = 400
47600: E[0:04:23]-R[0:04:49]: Return=0.00, Steps=100, Features = 400
47800: E[0:04:24]-R[0:04:48]: Return=0.00, Steps=100, Features = 400
48000: E[0:04:25]-R[0:04:47]: Return=0.00, Steps=100, Features = 400
48200: E[0:04:26]-R[0:04:46]: Return=8.00, Steps=100, Features = 400
48400: E[0:04:27]-R[0:04:45]: Return=0.00, Steps=100, Features = 400
48600: E[0:04:29]-R[0:04:44]: Return=0.00, Steps=100, Features = 400
48800: E[0:04:30]-R[0:04:44]: Return=0.00, Steps=100, Features = 400
49000: E[0:04:32]-R[0:04:43]: Return=0.00, Steps=100, Features = 400
49200: E[0:04:33]-R[0:04:42]: Return=0.00, Steps=100, Features = 400
49400: E[0:04:34]-R[0:04:41]: Return=0.00, Steps=100, Features = 400
49600: E[0:04:35]-R[0:04:39]: Return=0.00, Steps=100, Features = 400
49800: E[0:04:36]-R[0:04:38]: Return=0.00, Steps=100, Features = 400
50000: E[0:04:37]-R[0:04:37]: Return=0.00, Steps=100, Features = 400
50200: E[0:04:38]-R[0:04:36]: Return=0.00, Steps=100, Features = 400
50400: E[0:04:39]-R[0:04:35]: Return=0.00, Steps=100, Features = 400
50600: E[0:04:40]-R[0:04:34]: Return=0.00, Steps=100, Features = 400
50800: E[0:04:42]-R[0:04:33]: Return=0.00, Steps=100, Features = 400
51000: E[0:04:43]-R[0:04:32]: Return=4.00, Steps=100, Features = 400
51200: E[0:04:44]-R[0:04:31]: Return=0.00, Steps=100, Features = 400
51400: E[0:04:46]-R[0:04:30]: Return=0.00, Steps=100, Features = 400
51600: E[0:04:47]-R[0:04:29]: Return=0.00, Steps=100, Features = 400
51800: E[0:04:48]-R[0:04:28]: Return=0.00, Steps=100, Features = 400
52000: E[0:04:49]-R[0:04:27]: Return=2.00, Steps=100, Features = 400
52200: E[0:04:50]-R[0:04:26]: Return=0.00, Steps=100, Features = 400
52400: E[0:04:51]-R[0:04:25]: Return=0.00, Steps=100, Features = 400
52600: E[0:04:52]-R[0:04:23]: Return=0.00, Steps=100, Features = 400
52800: E[0:04:54]-R[0:04:22]: Return=0.00, Steps=100, Features = 400
53000: E[0:04:55]-R[0:04:22]: Return=0.00, Steps=100, Features = 400
53200: E[0:04:56]-R[0:04:20]: Return=0.00, Steps=100, Features = 400
53328 >>> E[0:04:57]-R[0:04:20]: Return=0.00, Steps=100, Features = 400
53500: E[0:04:58]-R[0:04:19]: Return=7.00, Steps=100, Features = 400
53800: E[0:05:00]-R[0:04:17]: Return=9.00, Steps=100, Features = 400
54000: E[0:05:01]-R[0:04:16]: Return=11.00, Steps=100, Features = 400
54200: E[0:05:02]-R[0:04:15]: Return=0.00, Steps=100, Features = 400
54400: E[0:05:03]-R[0:04:14]: Return=0.00, Steps=100, Features = 400
54600: E[0:05:04]-R[0:04:13]: Return=7.00, Steps=100, Features = 400
54800: E[0:05:05]-R[0:04:12]: Return=0.00, Steps=100, Features = 400
55000: E[0:05:06]-R[0:04:10]: Return=9.00, Steps=100, Features = 400
55300: E[0:05:08]-R[0:04:09]: Return=0.00, Steps=100, Features = 400
55500: E[0:05:09]-R[0:04:07]: Return=4.00, Steps=100, Features = 400
55700: E[0:05:10]-R[0:04:06]: Return=0.00, Steps=100, Features = 400
55900: E[0:05:11]-R[0:04:05]: Return=8.00, Steps=100, Features = 400
56100: E[0:05:12]-R[0:04:04]: Return=0.00, Steps=100, Features = 400
56300: E[0:05:13]-R[0:04:03]: Return=0.00, Steps=100, Features = 400
56500: E[0:05:14]-R[0:04:01]: Return=4.00, Steps=100, Features = 400
56700: E[0:05:15]-R[0:04:00]: Return=7.00, Steps=100, Features = 400
56900: E[0:05:16]-R[0:03:59]: Return=0.00, Steps=100, Features = 400
57100: E[0:05:17]-R[0:03:58]: Return=6.00, Steps=100, Features = 400
57300: E[0:05:18]-R[0:03:57]: Return=3.00, Steps=100, Features = 400
57500: E[0:05:20]-R[0:03:56]: Return=0.00, Steps=100, Features = 400
57700: E[0:05:21]-R[0:03:55]: Return=11.00, Steps=100, Features = 400
57900: E[0:05:22]-R[0:03:54]: Return=0.00, Steps=100, Features = 400
58100: E[0:05:23]-R[0:03:53]: Return=0.00, Steps=100, Features = 400
58300: E[0:05:24]-R[0:03:52]: Return=13.00, Steps=100, Features = 400
58500: E[0:05:25]-R[0:03:51]: Return=0.00, Steps=100, Features = 400
58700: E[0:05:26]-R[0:03:49]: Return=0.00, Steps=100, Features = 400
58900: E[0:05:27]-R[0:03:48]: Return=0.00, Steps=100, Features = 400
59100: E[0:05:28]-R[0:03:47]: Return=0.00, Steps=100, Features = 400
59300: E[0:05:30]-R[0:03:46]: Return=0.00, Steps=100, Features = 400
59500: E[0:05:31]-R[0:03:45]: Return=8.00, Steps=100, Features = 400
59700: E[0:05:32]-R[0:03:44]: Return=0.00, Steps=100, Features = 400
59900: E[0:05:33]-R[0:03:43]: Return=0.00, Steps=100, Features = 400
59994 >>> E[0:05:33]-R[0:03:42]: Return=13.00, Steps=100, Features = 400
60200: E[0:05:34]-R[0:03:41]: Return=10.00, Steps=100, Features = 400
60400: E[0:05:36]-R[0:03:40]: Return=7.00, Steps=100, Features = 400
60600: E[0:05:37]-R[0:03:39]: Return=3.00, Steps=100, Features = 400
60800: E[0:05:38]-R[0:03:38]: Return=3.00, Steps=100, Features = 400
61000: E[0:05:39]-R[0:03:36]: Return=0.00, Steps=100, Features = 400
61200: E[0:05:40]-R[0:03:35]: Return=0.00, Steps=100, Features = 400
61500: E[0:05:41]-R[0:03:34]: Return=0.00, Steps=100, Features = 400
61700: E[0:05:42]-R[0:03:32]: Return=0.00, Steps=100, Features = 400
61900: E[0:05:44]-R[0:03:32]: Return=0.00, Steps=100, Features = 400
62100: E[0:05:45]-R[0:03:31]: Return=0.00, Steps=100, Features = 400
62300: E[0:05:46]-R[0:03:30]: Return=6.00, Steps=100, Features = 400
62500: E[0:05:48]-R[0:03:29]: Return=15.00, Steps=100, Features = 400
62700: E[0:05:49]-R[0:03:27]: Return=9.00, Steps=100, Features = 400
62900: E[0:05:50]-R[0:03:26]: Return=0.00, Steps=100, Features = 400
63100: E[0:05:51]-R[0:03:25]: Return=0.00, Steps=100, Features = 400
63300: E[0:05:52]-R[0:03:24]: Return=9.00, Steps=100, Features = 400
63500: E[0:05:53]-R[0:03:23]: Return=8.00, Steps=100, Features = 400
63700: E[0:05:54]-R[0:03:22]: Return=6.00, Steps=100, Features = 400
63900: E[0:05:55]-R[0:03:21]: Return=0.00, Steps=100, Features = 400
64100: E[0:05:56]-R[0:03:20]: Return=0.00, Steps=100, Features = 400
64300: E[0:05:57]-R[0:03:18]: Return=16.00, Steps=100, Features = 400
64500: E[0:05:59]-R[0:03:17]: Return=11.00, Steps=100, Features = 400
64700: E[0:06:00]-R[0:03:16]: Return=5.00, Steps=100, Features = 400
64900: E[0:06:01]-R[0:03:15]: Return=0.00, Steps=100, Features = 400
65100: E[0:06:03]-R[0:03:14]: Return=0.00, Steps=100, Features = 400
65300: E[0:06:04]-R[0:03:13]: Return=10.00, Steps=100, Features = 400
65500: E[0:06:05]-R[0:03:12]: Return=0.00, Steps=100, Features = 400
65700: E[0:06:06]-R[0:03:11]: Return=7.00, Steps=100, Features = 400
65900: E[0:06:07]-R[0:03:10]: Return=7.00, Steps=100, Features = 400
66100: E[0:06:08]-R[0:03:09]: Return=0.00, Steps=100, Features = 400
66300: E[0:06:09]-R[0:03:08]: Return=10.00, Steps=100, Features = 400
66500: E[0:06:10]-R[0:03:06]: Return=3.00, Steps=100, Features = 400
66660 >>> E[0:06:11]-R[0:03:06]: Return=6.00, Steps=100, Features = 400
66900: E[0:06:13]-R[0:03:04]: Return=3.00, Steps=100, Features = 400
67100: E[0:06:14]-R[0:03:03]: Return=16.00, Steps=100, Features = 400
67300: E[0:06:15]-R[0:03:02]: Return=17.00, Steps=100, Features = 400
67500: E[0:06:16]-R[0:03:01]: Return=13.00, Steps=100, Features = 400
67700: E[0:06:17]-R[0:03:00]: Return=0.00, Steps=100, Features = 400
67900: E[0:06:18]-R[0:02:59]: Return=9.00, Steps=100, Features = 400
68100: E[0:06:19]-R[0:02:57]: Return=20.00, Steps=100, Features = 400
68300: E[0:06:20]-R[0:02:56]: Return=0.00, Steps=100, Features = 400
68500: E[0:06:21]-R[0:02:55]: Return=14.00, Steps=100, Features = 400
68700: E[0:06:22]-R[0:02:54]: Return=13.00, Steps=100, Features = 400
68900: E[0:06:23]-R[0:02:53]: Return=9.00, Steps=100, Features = 400
69100: E[0:06:24]-R[0:02:52]: Return=20.00, Steps=100, Features = 400
69300: E[0:06:25]-R[0:02:50]: Return=18.00, Steps=100, Features = 400
