============================================================
Domain:		InvertedPendulum
Dimensions:	2
|S|:		inf
|A|:		3
|S|x|A|:		inf
Episode Cap:	100
Gamma:		0.9
============================================================
Representation:		Tabular
Discretization:		20
Starting Features:	400
Aggregated States:	400
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/InvertedPendulum-SARSA-Tabular/3-3-result.txt
Max Steps: 		100000
Performance Checks:	15
200: E[0:00:01]-R[0:09:14]: Return=0.00, Steps=100, Features = 400
4600: E[0:00:24]-R[0:08:23]: Return=20.00, Steps=100, Features = 400
4900: E[0:00:26]-R[0:08:21]: Return=18.00, Steps=100, Features = 400
5100: E[0:00:27]-R[0:08:20]: Return=12.00, Steps=100, Features = 400
5300: E[0:00:28]-R[0:08:19]: Return=6.00, Steps=100, Features = 400
5500: E[0:00:29]-R[0:08:17]: Return=9.00, Steps=100, Features = 400
5800: E[0:00:30]-R[0:08:15]: Return=1.00, Steps=100, Features = 400
6000: E[0:00:31]-R[0:08:13]: Return=10.00, Steps=100, Features = 400
6200: E[0:00:32]-R[0:08:12]: Return=9.00, Steps=100, Features = 400
6500: E[0:00:34]-R[0:08:09]: Return=0.00, Steps=100, Features = 400
6666 >>> E[0:00:35]-R[0:08:13]: Return=11.00, Steps=100, Features = 400
6900: E[0:00:36]-R[0:08:11]: Return=11.00, Steps=100, Features = 400
7200: E[0:00:38]-R[0:08:08]: Return=14.00, Steps=100, Features = 400
7400: E[0:00:39]-R[0:08:07]: Return=4.00, Steps=100, Features = 400
7700: E[0:00:40]-R[0:08:04]: Return=0.00, Steps=100, Features = 400
7900: E[0:00:41]-R[0:08:03]: Return=17.00, Steps=100, Features = 400
8100: E[0:00:42]-R[0:08:01]: Return=11.00, Steps=100, Features = 400
8300: E[0:00:43]-R[0:08:00]: Return=14.00, Steps=100, Features = 400
8500: E[0:00:44]-R[0:07:59]: Return=23.00, Steps=100, Features = 400
8800: E[0:00:46]-R[0:07:57]: Return=16.00, Steps=100, Features = 400
9000: E[0:00:47]-R[0:07:55]: Return=9.00, Steps=100, Features = 400
9200: E[0:00:48]-R[0:07:54]: Return=0.00, Steps=100, Features = 400
9400: E[0:00:49]-R[0:07:52]: Return=12.00, Steps=100, Features = 400
9600: E[0:00:50]-R[0:07:51]: Return=24.00, Steps=100, Features = 400
9800: E[0:00:51]-R[0:07:50]: Return=18.00, Steps=100, Features = 400
10000: E[0:00:52]-R[0:07:48]: Return=7.00, Steps=100, Features = 400
10200: E[0:00:53]-R[0:07:47]: Return=1.00, Steps=100, Features = 400
10400: E[0:00:54]-R[0:07:46]: Return=11.00, Steps=100, Features = 400
10600: E[0:00:55]-R[0:07:44]: Return=16.00, Steps=100, Features = 400
10800: E[0:00:56]-R[0:07:43]: Return=11.00, Steps=100, Features = 400
11000: E[0:00:57]-R[0:07:42]: Return=10.00, Steps=100, Features = 400
11200: E[0:00:58]-R[0:07:41]: Return=5.00, Steps=100, Features = 400
11400: E[0:00:59]-R[0:07:40]: Return=16.00, Steps=100, Features = 400
11600: E[0:01:00]-R[0:07:39]: Return=0.00, Steps=100, Features = 400
11800: E[0:01:01]-R[0:07:37]: Return=0.00, Steps=100, Features = 400
12000: E[0:01:02]-R[0:07:36]: Return=12.00, Steps=100, Features = 400
12200: E[0:01:03]-R[0:07:35]: Return=0.00, Steps=100, Features = 400
12400: E[0:01:04]-R[0:07:34]: Return=11.00, Steps=100, Features = 400
12600: E[0:01:05]-R[0:07:33]: Return=8.00, Steps=100, Features = 400
12900: E[0:01:07]-R[0:07:31]: Return=12.00, Steps=100, Features = 400
13100: E[0:01:08]-R[0:07:30]: Return=20.00, Steps=100, Features = 400
13300: E[0:01:09]-R[0:07:29]: Return=8.00, Steps=100, Features = 400
13332 >>> E[0:01:09]-R[0:07:31]: Return=34.00, Steps=100, Features = 400
13600: E[0:01:11]-R[0:07:29]: Return=7.00, Steps=100, Features = 400
13800: E[0:01:12]-R[0:07:28]: Return=17.00, Steps=100, Features = 400
14000: E[0:01:13]-R[0:07:27]: Return=13.00, Steps=100, Features = 400
14200: E[0:01:14]-R[0:07:25]: Return=6.00, Steps=100, Features = 400
14400: E[0:01:15]-R[0:07:24]: Return=14.00, Steps=100, Features = 400
14600: E[0:01:16]-R[0:07:23]: Return=14.00, Steps=100, Features = 400
14800: E[0:01:17]-R[0:07:22]: Return=8.00, Steps=100, Features = 400
15000: E[0:01:18]-R[0:07:21]: Return=15.00, Steps=100, Features = 400
15200: E[0:01:19]-R[0:07:20]: Return=13.00, Steps=100, Features = 400
15500: E[0:01:20]-R[0:07:18]: Return=6.00, Steps=100, Features = 400
15700: E[0:01:21]-R[0:07:17]: Return=19.00, Steps=100, Features = 400
16000: E[0:01:23]-R[0:07:15]: Return=36.00, Steps=100, Features = 400
16200: E[0:01:24]-R[0:07:14]: Return=15.00, Steps=100, Features = 400
16400: E[0:01:25]-R[0:07:13]: Return=13.00, Steps=100, Features = 400
16700: E[0:01:26]-R[0:07:11]: Return=1.00, Steps=100, Features = 400
16900: E[0:01:28]-R[0:07:10]: Return=15.00, Steps=100, Features = 400
17100: E[0:01:29]-R[0:07:09]: Return=24.00, Steps=100, Features = 400
17300: E[0:01:30]-R[0:07:08]: Return=13.00, Steps=100, Features = 400
17600: E[0:01:31]-R[0:07:06]: Return=13.00, Steps=100, Features = 400
17900: E[0:01:33]-R[0:07:04]: Return=5.00, Steps=100, Features = 400
18200: E[0:01:34]-R[0:07:02]: Return=13.00, Steps=100, Features = 400
18400: E[0:01:35]-R[0:07:01]: Return=22.00, Steps=100, Features = 400
18600: E[0:01:36]-R[0:07:00]: Return=11.00, Steps=100, Features = 400
18800: E[0:01:37]-R[0:07:00]: Return=10.00, Steps=100, Features = 400
19000: E[0:01:38]-R[0:06:59]: Return=9.00, Steps=100, Features = 400
19200: E[0:01:39]-R[0:06:58]: Return=18.00, Steps=100, Features = 400
19500: E[0:01:41]-R[0:06:56]: Return=12.00, Steps=100, Features = 400
19700: E[0:01:42]-R[0:06:55]: Return=14.00, Steps=100, Features = 400
19900: E[0:01:43]-R[0:06:54]: Return=28.00, Steps=100, Features = 400
19998 >>> E[0:01:44]-R[0:06:55]: Return=10.00, Steps=100, Features = 400
20200: E[0:01:45]-R[0:06:54]: Return=18.00, Steps=100, Features = 400
20400: E[0:01:46]-R[0:06:53]: Return=12.00, Steps=100, Features = 400
20600: E[0:01:47]-R[0:06:51]: Return=16.00, Steps=100, Features = 400
20800: E[0:01:48]-R[0:06:50]: Return=18.00, Steps=100, Features = 400
21000: E[0:01:49]-R[0:06:51]: Return=10.00, Steps=100, Features = 400
21200: E[0:01:51]-R[0:06:52]: Return=18.00, Steps=100, Features = 400
21400: E[0:01:52]-R[0:06:53]: Return=17.00, Steps=100, Features = 400
21600: E[0:01:54]-R[0:06:53]: Return=14.00, Steps=100, Features = 400
21800: E[0:01:55]-R[0:06:53]: Return=19.00, Steps=100, Features = 400
22000: E[0:01:56]-R[0:06:53]: Return=18.00, Steps=100, Features = 400
22200: E[0:01:57]-R[0:06:52]: Return=12.00, Steps=100, Features = 400
22400: E[0:01:59]-R[0:06:51]: Return=7.00, Steps=100, Features = 400
22600: E[0:02:00]-R[0:06:49]: Return=5.00, Steps=100, Features = 400
22800: E[0:02:01]-R[0:06:48]: Return=12.00, Steps=100, Features = 400
23000: E[0:02:02]-R[0:06:49]: Return=14.00, Steps=100, Features = 400
23200: E[0:02:03]-R[0:06:48]: Return=15.00, Steps=100, Features = 400
23400: E[0:02:05]-R[0:06:48]: Return=9.00, Steps=100, Features = 400
23600: E[0:02:06]-R[0:06:48]: Return=16.00, Steps=100, Features = 400
23800: E[0:02:08]-R[0:06:49]: Return=11.00, Steps=100, Features = 400
24000: E[0:02:09]-R[0:06:48]: Return=27.00, Steps=100, Features = 400
24200: E[0:02:10]-R[0:06:48]: Return=26.00, Steps=100, Features = 400
24400: E[0:02:12]-R[0:06:48]: Return=16.00, Steps=100, Features = 400
24600: E[0:02:13]-R[0:06:47]: Return=14.00, Steps=100, Features = 400
24800: E[0:02:14]-R[0:06:47]: Return=21.00, Steps=100, Features = 400
25000: E[0:02:15]-R[0:06:46]: Return=20.00, Steps=100, Features = 400
25200: E[0:02:16]-R[0:06:45]: Return=16.00, Steps=100, Features = 400
25400: E[0:02:18]-R[0:06:44]: Return=23.00, Steps=100, Features = 400
25600: E[0:02:19]-R[0:06:43]: Return=16.00, Steps=100, Features = 400
25800: E[0:02:20]-R[0:06:42]: Return=5.00, Steps=100, Features = 400
26000: E[0:02:21]-R[0:06:41]: Return=18.00, Steps=100, Features = 400
26200: E[0:02:22]-R[0:06:40]: Return=0.00, Steps=100, Features = 400
26400: E[0:02:23]-R[0:06:40]: Return=7.00, Steps=100, Features = 400
26600: E[0:02:25]-R[0:06:40]: Return=16.00, Steps=100, Features = 400
26664 >>> E[0:02:26]-R[0:06:41]: Return=9.00, Steps=100, Features = 400
26900: E[0:02:27]-R[0:06:39]: Return=3.00, Steps=100, Features = 400
27100: E[0:02:29]-R[0:06:40]: Return=14.00, Steps=100, Features = 400
27300: E[0:02:30]-R[0:06:39]: Return=17.00, Steps=100, Features = 400
27500: E[0:02:31]-R[0:06:38]: Return=12.00, Steps=100, Features = 400
27700: E[0:02:32]-R[0:06:37]: Return=19.00, Steps=100, Features = 400
27900: E[0:02:33]-R[0:06:36]: Return=17.00, Steps=100, Features = 400
28100: E[0:02:35]-R[0:06:35]: Return=17.00, Steps=100, Features = 400
28300: E[0:02:36]-R[0:06:34]: Return=1.00, Steps=100, Features = 400
28600: E[0:02:37]-R[0:06:33]: Return=14.00, Steps=100, Features = 400
28800: E[0:02:39]-R[0:06:32]: Return=34.00, Steps=100, Features = 400
29000: E[0:02:40]-R[0:06:32]: Return=12.00, Steps=100, Features = 400
29200: E[0:02:41]-R[0:06:30]: Return=22.00, Steps=100, Features = 400
29400: E[0:02:42]-R[0:06:29]: Return=18.00, Steps=100, Features = 400
29600: E[0:02:43]-R[0:06:28]: Return=11.00, Steps=100, Features = 400
29800: E[0:02:44]-R[0:06:27]: Return=16.00, Steps=100, Features = 400
30000: E[0:02:46]-R[0:06:26]: Return=21.00, Steps=100, Features = 400
30300: E[0:02:47]-R[0:06:24]: Return=18.00, Steps=100, Features = 400
30500: E[0:02:48]-R[0:06:23]: Return=15.00, Steps=100, Features = 400
30700: E[0:02:49]-R[0:06:22]: Return=17.00, Steps=100, Features = 400
30900: E[0:02:50]-R[0:06:21]: Return=22.00, Steps=100, Features = 400
31100: E[0:02:51]-R[0:06:19]: Return=19.00, Steps=100, Features = 400
31300: E[0:02:52]-R[0:06:18]: Return=12.00, Steps=100, Features = 400
31500: E[0:02:54]-R[0:06:18]: Return=13.00, Steps=100, Features = 400
31700: E[0:02:55]-R[0:06:17]: Return=15.00, Steps=100, Features = 400
31900: E[0:02:56]-R[0:06:16]: Return=42.00, Steps=100, Features = 400
32100: E[0:02:57]-R[0:06:15]: Return=4.00, Steps=100, Features = 400
32300: E[0:02:59]-R[0:06:14]: Return=21.00, Steps=100, Features = 400
32500: E[0:03:00]-R[0:06:14]: Return=12.00, Steps=100, Features = 400
32700: E[0:03:01]-R[0:06:13]: Return=23.00, Steps=100, Features = 400
32900: E[0:03:02]-R[0:06:12]: Return=9.00, Steps=100, Features = 400
33100: E[0:03:04]-R[0:06:11]: Return=14.00, Steps=100, Features = 400
33300: E[0:03:05]-R[0:06:10]: Return=7.00, Steps=100, Features = 400
33330 >>> E[0:03:05]-R[0:06:11]: Return=19.00, Steps=100, Features = 400
33600: E[0:03:07]-R[0:06:09]: Return=12.00, Steps=100, Features = 400
33800: E[0:03:08]-R[0:06:08]: Return=18.00, Steps=100, Features = 400
34000: E[0:03:09]-R[0:06:07]: Return=6.00, Steps=100, Features = 400
34200: E[0:03:10]-R[0:06:05]: Return=0.00, Steps=100, Features = 400
34400: E[0:03:11]-R[0:06:04]: Return=11.00, Steps=100, Features = 400
34600: E[0:03:12]-R[0:06:04]: Return=11.00, Steps=100, Features = 400
34800: E[0:03:14]-R[0:06:03]: Return=8.00, Steps=100, Features = 400
35000: E[0:03:15]-R[0:06:02]: Return=5.00, Steps=100, Features = 400
35200: E[0:03:16]-R[0:06:01]: Return=19.00, Steps=100, Features = 400
35400: E[0:03:17]-R[0:06:00]: Return=7.00, Steps=100, Features = 400
35600: E[0:03:18]-R[0:05:59]: Return=14.00, Steps=100, Features = 400
35800: E[0:03:19]-R[0:05:58]: Return=13.00, Steps=100, Features = 400
36000: E[0:03:21]-R[0:05:57]: Return=6.00, Steps=100, Features = 400
36200: E[0:03:22]-R[0:05:56]: Return=2.00, Steps=100, Features = 400
36400: E[0:03:23]-R[0:05:55]: Return=12.00, Steps=100, Features = 400
36600: E[0:03:25]-R[0:05:54]: Return=8.00, Steps=100, Features = 400
36800: E[0:03:26]-R[0:05:54]: Return=8.00, Steps=100, Features = 400
37000: E[0:03:27]-R[0:05:53]: Return=10.00, Steps=100, Features = 400
37200: E[0:03:29]-R[0:05:53]: Return=6.00, Steps=100, Features = 400
37400: E[0:03:30]-R[0:05:52]: Return=10.00, Steps=100, Features = 400
37600: E[0:03:31]-R[0:05:51]: Return=18.00, Steps=100, Features = 400
37800: E[0:03:33]-R[0:05:50]: Return=8.00, Steps=100, Features = 400
38000: E[0:03:34]-R[0:05:49]: Return=10.00, Steps=100, Features = 400
38200: E[0:03:35]-R[0:05:48]: Return=11.00, Steps=100, Features = 400
38400: E[0:03:36]-R[0:05:47]: Return=25.00, Steps=100, Features = 400
38600: E[0:03:37]-R[0:05:45]: Return=23.00, Steps=100, Features = 400
38800: E[0:03:38]-R[0:05:44]: Return=30.00, Steps=100, Features = 400
39000: E[0:03:39]-R[0:05:43]: Return=22.00, Steps=100, Features = 400
39300: E[0:03:41]-R[0:05:41]: Return=17.00, Steps=100, Features = 400
39500: E[0:03:42]-R[0:05:39]: Return=17.00, Steps=100, Features = 400
39700: E[0:03:43]-R[0:05:38]: Return=13.00, Steps=100, Features = 400
39996 >>> E[0:03:44]-R[0:05:37]: Return=17.00, Steps=100, Features = 400
40200: E[0:03:45]-R[0:05:35]: Return=20.00, Steps=100, Features = 400
40400: E[0:03:46]-R[0:05:34]: Return=4.00, Steps=100, Features = 400
40600: E[0:03:47]-R[0:05:33]: Return=17.00, Steps=100, Features = 400
40800: E[0:03:48]-R[0:05:32]: Return=10.00, Steps=100, Features = 400
41100: E[0:03:50]-R[0:05:30]: Return=14.00, Steps=100, Features = 400
41300: E[0:03:51]-R[0:05:28]: Return=0.00, Steps=100, Features = 400
41500: E[0:03:52]-R[0:05:27]: Return=35.00, Steps=100, Features = 400
41700: E[0:03:53]-R[0:05:26]: Return=25.00, Steps=100, Features = 400
41900: E[0:03:54]-R[0:05:25]: Return=23.00, Steps=100, Features = 400
42100: E[0:03:55]-R[0:05:23]: Return=25.00, Steps=100, Features = 400
42400: E[0:03:57]-R[0:05:21]: Return=11.00, Steps=100, Features = 400
42600: E[0:03:58]-R[0:05:20]: Return=18.00, Steps=100, Features = 400
42800: E[0:03:59]-R[0:05:19]: Return=21.00, Steps=100, Features = 400
43000: E[0:04:00]-R[0:05:18]: Return=9.00, Steps=100, Features = 400
43200: E[0:04:01]-R[0:05:16]: Return=14.00, Steps=100, Features = 400
43400: E[0:04:02]-R[0:05:15]: Return=9.00, Steps=100, Features = 400
43600: E[0:04:03]-R[0:05:14]: Return=22.00, Steps=100, Features = 400
43800: E[0:04:04]-R[0:05:13]: Return=15.00, Steps=100, Features = 400
44000: E[0:04:05]-R[0:05:12]: Return=14.00, Steps=100, Features = 400
44200: E[0:04:06]-R[0:05:10]: Return=7.00, Steps=100, Features = 400
44400: E[0:04:07]-R[0:05:09]: Return=16.00, Steps=100, Features = 400
44600: E[0:04:08]-R[0:05:08]: Return=4.00, Steps=100, Features = 400
44800: E[0:04:09]-R[0:05:07]: Return=5.00, Steps=100, Features = 400
45100: E[0:04:10]-R[0:05:05]: Return=13.00, Steps=100, Features = 400
45300: E[0:04:11]-R[0:05:04]: Return=17.00, Steps=100, Features = 400
45600: E[0:04:13]-R[0:05:02]: Return=23.00, Steps=100, Features = 400
45800: E[0:04:14]-R[0:05:01]: Return=20.00, Steps=100, Features = 400
46000: E[0:04:15]-R[0:05:00]: Return=15.00, Steps=100, Features = 400
46200: E[0:04:17]-R[0:04:59]: Return=25.00, Steps=100, Features = 400
46400: E[0:04:18]-R[0:04:58]: Return=25.00, Steps=100, Features = 400
46600: E[0:04:19]-R[0:04:57]: Return=11.00, Steps=100, Features = 400
46662 >>> E[0:04:20]-R[0:04:57]: Return=12.00, Steps=100, Features = 400
46900: E[0:04:21]-R[0:04:56]: Return=31.00, Steps=100, Features = 400
47100: E[0:04:23]-R[0:04:55]: Return=18.00, Steps=100, Features = 400
47400: E[0:04:24]-R[0:04:53]: Return=21.00, Steps=100, Features = 400
47600: E[0:04:25]-R[0:04:52]: Return=11.00, Steps=100, Features = 400
47800: E[0:04:26]-R[0:04:51]: Return=21.00, Steps=100, Features = 400
48000: E[0:04:28]-R[0:04:50]: Return=20.00, Steps=100, Features = 400
48200: E[0:04:29]-R[0:04:49]: Return=33.00, Steps=100, Features = 400
48400: E[0:04:30]-R[0:04:48]: Return=7.00, Steps=100, Features = 400
48600: E[0:04:31]-R[0:04:47]: Return=21.00, Steps=100, Features = 400
48900: E[0:04:33]-R[0:04:45]: Return=17.00, Steps=100, Features = 400
49100: E[0:04:34]-R[0:04:44]: Return=19.00, Steps=100, Features = 400
49300: E[0:04:35]-R[0:04:43]: Return=12.00, Steps=100, Features = 400
49600: E[0:04:36]-R[0:04:41]: Return=18.00, Steps=100, Features = 400
49800: E[0:04:37]-R[0:04:40]: Return=3.00, Steps=100, Features = 400
50000: E[0:04:38]-R[0:04:38]: Return=14.00, Steps=100, Features = 400
50200: E[0:04:39]-R[0:04:37]: Return=27.00, Steps=100, Features = 400
50400: E[0:04:40]-R[0:04:36]: Return=7.00, Steps=100, Features = 400
50600: E[0:04:42]-R[0:04:35]: Return=17.00, Steps=100, Features = 400
50800: E[0:04:43]-R[0:04:34]: Return=11.00, Steps=100, Features = 400
51000: E[0:04:44]-R[0:04:33]: Return=18.00, Steps=100, Features = 400
51200: E[0:04:45]-R[0:04:32]: Return=5.00, Steps=100, Features = 400
51400: E[0:04:46]-R[0:04:31]: Return=23.00, Steps=100, Features = 400
51600: E[0:04:47]-R[0:04:29]: Return=19.00, Steps=100, Features = 400
51800: E[0:04:48]-R[0:04:28]: Return=19.00, Steps=100, Features = 400
52000: E[0:04:49]-R[0:04:27]: Return=14.00, Steps=100, Features = 400
52200: E[0:04:50]-R[0:04:26]: Return=16.00, Steps=100, Features = 400
52400: E[0:04:51]-R[0:04:25]: Return=26.00, Steps=100, Features = 400
52700: E[0:04:53]-R[0:04:23]: Return=23.00, Steps=100, Features = 400
52900: E[0:04:54]-R[0:04:22]: Return=5.00, Steps=100, Features = 400
53100: E[0:04:55]-R[0:04:21]: Return=30.00, Steps=100, Features = 400
53300: E[0:04:56]-R[0:04:20]: Return=24.00, Steps=100, Features = 400
53328 >>> E[0:04:57]-R[0:04:20]: Return=14.00, Steps=100, Features = 400
53600: E[0:04:58]-R[0:04:18]: Return=30.00, Steps=100, Features = 400
53900: E[0:05:00]-R[0:04:16]: Return=14.00, Steps=100, Features = 400
54200: E[0:05:01]-R[0:04:15]: Return=24.00, Steps=100, Features = 400
54400: E[0:05:02]-R[0:04:13]: Return=25.00, Steps=100, Features = 400
54600: E[0:05:03]-R[0:04:12]: Return=23.00, Steps=100, Features = 400
54800: E[0:05:04]-R[0:04:11]: Return=19.00, Steps=100, Features = 400
55000: E[0:05:05]-R[0:04:10]: Return=16.00, Steps=100, Features = 400
55200: E[0:05:06]-R[0:04:09]: Return=4.00, Steps=100, Features = 400
55400: E[0:05:07]-R[0:04:07]: Return=22.00, Steps=100, Features = 400
55700: E[0:05:09]-R[0:04:06]: Return=26.00, Steps=100, Features = 400
55900: E[0:05:10]-R[0:04:04]: Return=23.00, Steps=100, Features = 400
56100: E[0:05:11]-R[0:04:03]: Return=25.00, Steps=100, Features = 400
56300: E[0:05:12]-R[0:04:02]: Return=32.00, Steps=100, Features = 400
56500: E[0:05:13]-R[0:04:01]: Return=15.00, Steps=100, Features = 400
56700: E[0:05:14]-R[0:04:00]: Return=18.00, Steps=100, Features = 400
56900: E[0:05:15]-R[0:03:58]: Return=26.00, Steps=100, Features = 400
57100: E[0:05:16]-R[0:03:57]: Return=15.00, Steps=100, Features = 400
57300: E[0:05:17]-R[0:03:56]: Return=37.00, Steps=100, Features = 400
57500: E[0:05:18]-R[0:03:55]: Return=20.00, Steps=100, Features = 400
57700: E[0:05:19]-R[0:03:54]: Return=16.00, Steps=100, Features = 400
57900: E[0:05:20]-R[0:03:53]: Return=27.00, Steps=100, Features = 400
58100: E[0:05:21]-R[0:03:52]: Return=28.00, Steps=100, Features = 400
58300: E[0:05:22]-R[0:03:51]: Return=30.00, Steps=100, Features = 400
58500: E[0:05:23]-R[0:03:49]: Return=16.00, Steps=100, Features = 400
58700: E[0:05:25]-R[0:03:48]: Return=23.00, Steps=100, Features = 400
58900: E[0:05:26]-R[0:03:47]: Return=0.00, Steps=100, Features = 400
59200: E[0:05:27]-R[0:03:45]: Return=35.00, Steps=100, Features = 400
59400: E[0:05:28]-R[0:03:44]: Return=50.00, Steps=100, Features = 400
59600: E[0:05:29]-R[0:03:43]: Return=11.00, Steps=100, Features = 400
59900: E[0:05:31]-R[0:03:41]: Return=12.00, Steps=100, Features = 400
59994 >>> E[0:05:31]-R[0:03:41]: Return=29.00, Steps=100, Features = 400
60200: E[0:05:32]-R[0:03:40]: Return=26.00, Steps=100, Features = 400
60400: E[0:05:33]-R[0:03:39]: Return=25.00, Steps=100, Features = 400
60700: E[0:05:35]-R[0:03:37]: Return=18.00, Steps=100, Features = 400
60900: E[0:05:36]-R[0:03:36]: Return=25.00, Steps=100, Features = 400
61100: E[0:05:37]-R[0:03:35]: Return=28.00, Steps=100, Features = 400
61400: E[0:05:38]-R[0:03:33]: Return=18.00, Steps=100, Features = 400
61600: E[0:05:40]-R[0:03:32]: Return=27.00, Steps=100, Features = 400
61900: E[0:05:41]-R[0:03:30]: Return=23.00, Steps=100, Features = 400
62100: E[0:05:42]-R[0:03:29]: Return=26.00, Steps=100, Features = 400
62300: E[0:05:43]-R[0:03:28]: Return=18.00, Steps=100, Features = 400
62600: E[0:05:45]-R[0:03:26]: Return=42.00, Steps=100, Features = 400
62800: E[0:05:46]-R[0:03:25]: Return=15.00, Steps=100, Features = 400
63100: E[0:05:47]-R[0:03:23]: Return=4.00, Steps=100, Features = 400
63400: E[0:05:49]-R[0:03:22]: Return=13.00, Steps=100, Features = 400
63600: E[0:05:50]-R[0:03:20]: Return=24.00, Steps=100, Features = 400
63800: E[0:05:51]-R[0:03:19]: Return=24.00, Steps=100, Features = 400
64100: E[0:05:53]-R[0:03:17]: Return=42.00, Steps=100, Features = 400
64300: E[0:05:54]-R[0:03:16]: Return=25.00, Steps=100, Features = 400
64500: E[0:05:55]-R[0:03:15]: Return=22.00, Steps=100, Features = 400
64700: E[0:05:56]-R[0:03:14]: Return=23.00, Steps=100, Features = 400
64900: E[0:05:58]-R[0:03:13]: Return=39.00, Steps=100, Features = 400
65100: E[0:05:59]-R[0:03:12]: Return=26.00, Steps=100, Features = 400
65300: E[0:06:00]-R[0:03:11]: Return=13.00, Steps=100, Features = 400
65500: E[0:06:01]-R[0:03:10]: Return=17.00, Steps=100, Features = 400
65700: E[0:06:03]-R[0:03:09]: Return=13.00, Steps=100, Features = 400
65900: E[0:06:04]-R[0:03:08]: Return=18.00, Steps=100, Features = 400
66100: E[0:06:05]-R[0:03:07]: Return=13.00, Steps=100, Features = 400
66300: E[0:06:06]-R[0:03:06]: Return=12.00, Steps=100, Features = 400
66500: E[0:06:07]-R[0:03:05]: Return=27.00, Steps=100, Features = 400
66660 >>> E[0:06:08]-R[0:03:04]: Return=30.00, Steps=100, Features = 400
66900: E[0:06:10]-R[0:03:03]: Return=22.00, Steps=100, Features = 400
67100: E[0:06:11]-R[0:03:02]: Return=21.00, Steps=100, Features = 400
67300: E[0:06:12]-R[0:03:01]: Return=26.00, Steps=100, Features = 400
67600: E[0:06:13]-R[0:02:59]: Return=36.00, Steps=100, Features = 400
67800: E[0:06:14]-R[0:02:58]: Return=22.00, Steps=100, Features = 400
68100: E[0:06:16]-R[0:02:56]: Return=18.00, Steps=100, Features = 400
68300: E[0:06:17]-R[0:02:55]: Return=15.00, Steps=100, Features = 400
68500: E[0:06:18]-R[0:02:54]: Return=21.00, Steps=100, Features = 400
68800: E[0:06:19]-R[0:02:52]: Return=39.00, Steps=100, Features = 400
69000: E[0:06:20]-R[0:02:51]: Return=19.00, Steps=100, Features = 400
69300: E[0:06:22]-R[0:02:49]: Return=23.00, Steps=100, Features = 400
69500: E[0:06:23]-R[0:02:48]: Return=25.00, Steps=100, Features = 400
69800: E[0:06:24]-R[0:02:46]: Return=35.00, Steps=100, Features = 400
70000: E[0:06:25]-R[0:02:45]: Return=25.00, Steps=100, Features = 400
70200: E[0:06:26]-R[0:02:44]: Return=23.00, Steps=100, Features = 400
70500: E[0:06:28]-R[0:02:42]: Return=29.00, Steps=100, Features = 400
70700: E[0:06:29]-R[0:02:41]: Return=20.00, Steps=100, Features = 400
71000: E[0:06:30]-R[0:02:39]: Return=39.00, Steps=100, Features = 400
